names,Oxyrhopus_melanogenys_RAB584_,Oxyrhopus_petolarius_RAB664_,Oxyrhopus_petolarius_RAB672_,Oxyrhopus_petolarius_RAB697_,Oxyrhopus_melanogenys_RAB936_,Oxyrhopus_melanogenys_RAB1005_,Oxyrhopus_melanogenys_RAB938_,Oxyrhopus_melanogenys_RAB1004_,Oxyrhopus_melanogenys_RAB955_,Oxyrhopus_melanogenys_RAB1233_,Oxyrhopus_melanogenys_RAB1318_,Oxyrhopus_melanogenys_RAB1321_,Oxyrhopus_petolarius_RAB2433_,Oxyrhopus_melanogenys_RAB2538_,Oxyrhopus_melanogenys_RAB2610_,Oxyrhopus_melanogenys_RAB2677_,Oxyrhopus_petolarius_RAB2868_,Oxyrhopus_petolarius_RAB2925_,Oxyrhopus_petolarius_RAB3406_,Oxyrhopus_melanogenys_RAB3409_,Oxyrhopus_melanogenys_RAB3481_,Oxyrhopus_melanogenys_RAB3530_,Oxyrhopus_melanogenys_RAB3555_,Oxyrhopus_melanogenys_RAB3557_,Oxyrhopus_melanogenys_RAB3576_
Oxyrhopus_melanogenys_RAB1318_,0.229295095,0,0.124680748,0.171742936,0.129112207,0,0,0.060637306,0,0.14285176,1,0,0,0,0.060629547,0.043532844,0.04556672,0.146528475,0.097731532,0.14307265,0.149089047,0.124570823,0.054283497,0.149710497,0.071888002
Oxyrhopus_melanogenys_RAB1321_,0.045524509,0.284344444,0.146815961,0.067911361,0.100802109,0.227903218,0.232603923,0.213096122,0.162388346,0.055871044,0,1,0.18743714,0.26560235,0.259060732,0.202548942,0.223200348,0.028905669,0.113338303,0.112865642,0.028264899,0.073719198,0.228789788,0,0.14079225
Oxyrhopus_petolarius_RAB2433_,0.043884941,0.200271449,0.14105975,0.129779766,0.122038186,0.193803576,0.224512192,0.159457659,0.157587507,0.054463689,0,0.18743714,1,0.191475923,0.204928567,0.145689153,0.166613003,0.027937183,0.109504885,0.108761239,0.027317882,0.07099254,0.219742147,0.028466782,0.108340698
Oxyrhopus_melanogenys_RAB2538_,0.035908041,0.246043395,0.135629221,0.079069769,0.080273949,0.240101673,0.209604397,0.188236483,0.159870445,0.044353435,0,0.26560235,0.191475923,1,0.225530652,0.213452305,0.191423271,0.023040436,0.090105776,0.089469238,0.022529684,0.05833846,0.230257219,0,0.111553154
Oxyrhopus_melanogenys_RAB2610_,0.076952275,0.21888387,0.20760789,0.115669229,0.170905478,0.21538115,0.19653088,0.200655202,0.137680154,0.119373831,0.060629547,0.259060732,0.204928567,0.225530652,1,0.198847895,0.205685244,0.115562679,0.127962624,0.141249393,0.097379093,0.123975843,0.248071215,0.074310667,0.190320148
Oxyrhopus_melanogenys_RAB2677_,0.081467875,0.173146821,0.20359492,0.100914649,0.135168328,0.18366747,0.161508309,0.186414828,0.099374953,0.132807836,0.043532844,0.202548942,0.145689153,0.213452305,0.198847895,1,0.209610671,0.145133814,0.091891308,0.165786614,0.120327497,0.144935033,0.176982212,0.085841186,0.183546513
Oxyrhopus_petolarius_RAB2868_,0.085453616,0.191558611,0.212872423,0.147548382,0.205895475,0.172947412,0.144087819,0.206485082,0.102358243,0.19290164,0.04556672,0.223200348,0.166613003,0.191423271,0.205685244,0.209610671,1,0.158830116,0.116985699,0.174384952,0.164899579,0.199257031,0.207852631,0.129048341,0.211177743
Oxyrhopus_petolarius_RAB2925_,0.138342605,0.026918509,0.264393088,0.172900169,0.252579614,0.026303316,0.034820226,0.122414355,0.042219533,0.222457799,0.146528475,0.028905669,0.027937183,0.023040436,0.115562679,0.145133814,0.158830116,1,0.079164354,0.251835165,0.314738037,0.289431777,0.081891457,0.232115046,0.244419881
Oxyrhopus_petolarius_RAB3406_,0.061915046,0.106305391,0.166234924,0.046350197,0.104473498,0.102939689,0.090393878,0.128942228,0,0.115031356,0.097731532,0.113338303,0.109504885,0.090105776,0.127962624,0.091891308,0.116985699,0.079164354,1,0.153882878,0.080248672,0.100181598,0.114098085,0.080460808,0.153411002
Oxyrhopus_melanogenys_RAB3409_,0.22577243,0.10531797,0.267438978,0.202320504,0.202376226,0.102207433,0.102130391,0.143412372,0.082882784,0.195729312,0.14307265,0.112865642,0.108761239,0.089469238,0.141249393,0.165786614,0.174384952,0.251835165,0.153882878,1,0.202553779,0.267464927,0.105958748,0.145891752,0.248833453
Oxyrhopus_melanogenys_RAB3481_,0.141157522,0.02632179,0.253345615,0.140182585,0.261572391,0.025720234,0.034048344,0.123615101,0.041283626,0.232988377,0.149089047,0.028264899,0.027317882,0.022529684,0.097379093,0.120327497,0.164899579,0.314738037,0.080248672,0.202553779,1,0.278198038,0.108273917,0.242803464,0.230091246
Oxyrhopus_melanogenys_RAB3530_,0.196650667,0.068643452,0.276645836,0.176157152,0.263604541,0.066713882,0.088627714,0.145266758,0.072429152,0.218684581,0.124570823,0.073719198,0.07099254,0.05833846,0.123975843,0.144935033,0.199257031,0.289431777,0.100181598,0.267464927,0.278198038,1,0.110368739,0.202249095,0.26685399
Oxyrhopus_melanogenys_RAB3555_,0.06879782,0.232238037,0.165432789,0.152296436,0.187850103,0.189302237,0.224511099,0.212863517,0.151157427,0.126614549,0.054283497,0.228789788,0.219742147,0.230257219,0.248071215,0.176982212,0.207852631,0.081891457,0.114098085,0.105958748,0.108273917,0.110368739,1,0.109985616,0.148087428
Oxyrhopus_melanogenys_RAB3557_,0.140590134,0,0.17752278,0.174949756,0.235894071,0,0,0.099217336,0,0.261527669,0.149710497,0,0.028466782,0,0.074310667,0.085841186,0.129048341,0.232115046,0.080460808,0.145891752,0.242803464,0.202249095,0.109985616,1,0.173562377
Oxyrhopus_melanogenys_RAB3576_,0.135172427,0.104910843,0.316605406,0.167870085,0.226268765,0.12754091,0.101799307,0.167135648,0.082630096,0.222321896,0.071888002,0.14079225,0.108340698,0.111553154,0.190320148,0.183546513,0.211177743,0.244419881,0.153411002,0.248833453,0.230091246,0.26685399,0.148087428,0.173562377,1
